客户等级,主叫次数,被叫次数,通话时长,费用,流失
2,0.592005397,0.922308838,0.825382759,0.644503744,0
2,0.987891019,1.057795386,0.82255332,0.774814669,0
1,0.728110599,0.467455621,0.797125119,0.602836183,0
2,0.887686923,1.070536458,0.951268561,0.799572116,0
1,1.043478261,1.301204819,1.071888136,1.051807795,0
1,0.866300366,1.409114183,0.657355613,0.233970695,0
1,0.988977739,1.104157218,1.31093506,1.089200616,0
1,1.094453782,1.332908163,1.053258504,1.137721024,0
2,1.536309524,0.561842413,0.975273817,1.729038996,0
2,1.250921659,1.175488006,1.090803768,1.057541998,0
1,0.678095238,1.266363119,0.674948132,0.797195905,0
2,1.05141107,0,1.239014446,1.197640802,0
1,1.545545047,1.00210084,0.970098822,1.073181554,0
2,0.481502561,0.520935961,0.539099451,0.450006835,0
1,0.76754386,0.865168539,0.850027268,1.933908574,0
2,0,0.563380282,1.043432551,0.843811803,0
1,1.85877551,1.168831169,1.113475177,1.453651685,0
2,0.884718499,0.910025707,0.854963456,0.262087811,0
1,0.645517241,0.711246201,0.385834739,0.562600178,0
1,0.462724936,0.646737568,0.665904232,0.538491316,0
2,1.02818706,1.15375758,1.673199577,1.548195465,0
1,2.07820197,2.863300493,3.271157896,3.054852489,0
2,0.982142857,1.116082438,1.214109502,1.051887004,0
1,1.008695652,0.854875283,0.821275719,0.833314851,0
2,1.289875173,0.92382496,1.194649342,1.206784585,0
1,1.40987984,1.618273326,1.301955035,1.357314321,0
2,0.641627971,0.716696805,0.642582246,0.296760843,0
2,0.435420744,0.339215133,0.427559139,1.019974764,0
1,1.933575978,2.207792208,1.51868612,1.545546922,0
1,0.735294118,0.292056075,0.577739507,0.514572301,0
1,0.76863354,0.886699507,0.714842752,0.773948949,0
1,1.223265306,0.971324296,1.211268366,1.49421702,0
1,0.481391586,0.495337995,0.333821111,0.389819952,0
2,0.896103896,1.034108387,1.065888642,1.280604237,0
3,0.996309963,0.99800745,0.912268405,0.883118284,0
1,0.897386871,0.942857143,0.860916495,0.797162042,0
1,0.963715806,1.187986652,1.125823605,1.034999027,0
1,0.963585434,0.755150287,1.013790489,0.8734625,0
2,1.365726548,1.244239631,1.229573597,1.139841038,0
1,1.574638844,1.684059014,1.739038099,1.736948311,0
2,1.155844156,1.568207654,1.172070326,1.07086708,0
2,0.665377616,0.750654641,0.745762204,0.544076815,0
2,0.136633663,1.039726027,0.302908185,0.219734289,0
2,0.989010989,0.865775951,1.100322101,1.031690203,0
3,0.433898305,0.470588235,0.630541872,0.556622331,0
2,0.594155844,0.647840532,0.634146737,0.629554026,0
2,0.729291717,1.076604555,0.783707907,0.181859626,0
1,1.378737542,0.995975855,1.091857539,1.059427247,0
1,0.952035887,1.448015873,1.180473845,1.068510083,0
1,1.081688489,1.576939381,1.479863172,0.864940787,0
1,0.531533684,0.567602041,0.458364659,0.477232284,0
1,1.557692308,0.569277108,0.455539049,0.584854436,0
2,1.398563927,1.281407035,1.370341111,1.279481568,0
2,1.782203123,1.441786551,1.540119249,1.629271104,0
2,0.802736602,1.197278912,1.111032608,0.848166747,0
